Time Received,Battery Life (%),Battery Voltage (V),Battery Current (A),Solar Current (A)
0.00:0.00,65.22,21.19,38.70,-0.22
0.00:0.00,65.10,21.14,41.92,-0.22
0.00:0.00,64.97,21.16,44.41,-0.23
0.00:0.00,64.85,21.11,39.60,-0.23
0.00:0.00,64.73,21.03,41.72,-0.23
0.00:0.00,64.61,21.08,41.97,-0.23
0.00:0.00,64.49,21.20,39.14,-0.24
0.00:0.00,64.38,21.20,38.17,-0.24
0.00:0.00,64.27,21.17,38.19,-0.24
0.00:0.00,64.15,21.10,41.33,-0.23
0.00:0.00,64.02,21.07,43.44,-0.22
0.00:0.00,63.91,21.13,39.90,-0.22
0.00:0.00,63.79,21.09,40.76,-0.22
0.00:0.00,63.67,21.13,41.98,-0.22
0.00:0.00,63.55,21.09,39.75,-0.23
0.00:0.00,63.43,21.14,39.63,-0.22
0.00:0.00,63.31,21.09,41.04,-0.21
0.00:0.00,63.20,21.11,39.66,-0.22
0.00:0.00,63.07,21.04,41.87,-0.22
0.00:0.00,62.95,21.11,43.37,-0.21
0.00:0.00,62.83,21.12,41.02,-0.22
0.00:0.00,62.71,21.12,39.00,-0.22
0.00:0.00,62.59,21.03,42.10,-0.21
0.00:0.00,62.47,21.08,40.97,-0.21
0.00:0.00,62.36,21.18,37.86,-0.21
0.00:0.00,62.25,21.19,36.45,-0.22
0.00:0.00,62.14,21.12,39.48,-0.21
0.00:0.00,62.01,21.00,43.06,-0.19
0.00:0.00,61.89,21.02,43.33,-0.20
0.00:0.00,61.76,21.08,41.48,-0.20
0.00:0.00,61.65,21.07,38.88,-0.20
0.00:0.00,61.53,21.08,40.56,-0.20
0.00:0.00,61.41,21.04,40.68,-0.20
0.00:0.00,61.29,21.10,42.19,-0.20
0.00:0.00,61.17,21.10,39.55,-0.21
0.00:0.00,61.07,21.15,37.03,-0.21
0.00:0.00,60.95,21.04,39.59,-0.21
0.00:0.00,60.83,21.01,41.34,-0.20
0.00:0.00,60.71,21.07,41.97,-0.21
0.00:0.00,60.58,20.93,43.41,-0.20
0.00:0.00,60.46,21.07,40.64,-0.21
0.00:0.00,60.34,21.10,39.97,-0.21
0.00:0.00,60.23,21.03,39.47,-0.21
0.00:0.00,60.11,21.10,39.63,-0.21
0.00:0.00,60.00,21.07,39.01,-0.21
0.00:0.00,59.89,21.13,37.70,-0.22
0.00:0.00,59.77,20.98,41.82,-0.21
0.00:0.00,59.64,21.02,43.29,-0.21
0.00:0.00,59.52,21.02,40.35,-0.21
0.00:0.00,59.40,21.06,39.93,-0.22
0.00:0.00,59.29,21.11,39.90,-0.21
0.00:0.00,59.17,21.08,39.93,-0.22
0.00:0.00,59.05,20.91,43.14,-0.21
0.00:0.00,58.93,21.07,40.03,-0.22
0.00:0.00,58.80,21.01,42.55,-0.21
0.00:0.00,58.68,21.00,41.77,-0.21
0.00:0.00,58.56,21.07,40.29,-0.22
0.00:0.00,58.45,21.11,39.04,-0.22
0.00:0.00,58.34,21.14,36.23,-0.22
0.00:0.00,58.23,21.00,39.09,-0.22
0.00:0.00,58.10,21.02,43.13,-0.21
0.00:0.00,57.98,20.93,41.01,-0.22
0.00:0.00,57.86,21.02,41.16,-0.22
0.00:0.00,57.74,21.02,40.55,-0.22
0.00:0.00,57.62,21.00,42.06,-0.21
0.00:0.00,57.50,21.02,40.45,-0.22
0.00:0.00,57.38,20.96,42.15,-0.22
0.00:0.00,57.26,20.99,41.98,-0.22
0.00:0.00,57.13,21.06,42.04,-0.22
0.00:0.00,57.02,21.03,39.41,-0.23
0.00:0.00,56.91,20.99,38.85,-0.23
